Tanggal,Provinsi,Kasus Aktif
8/24/2022,Jawa Barat,3282
8/25/2022,Jawa Barat,3526
8/26/2022,Jawa Barat,3674
8/27/2022,Jawa Barat,3742
8/28/2022,Jawa Barat,4199
8/29/2022,Jawa Barat,4478
8/30/2022,Jawa Barat,4560
8/31/2022,Jawa Barat,4640
9/1/2022,Jawa Barat,4801
9/2/2022,Jawa Barat,4866
9/3/2022,Jawa Barat,5070
9/4/2022,Jawa Barat,5368
9/5/2022,Jawa Barat,5551
9/6/2022,Jawa Barat,5670
9/7/2022,Jawa Barat,5786
9/8/2022,Jawa Barat,6044
9/9/2022,Jawa Barat,6281
9/10/2022,Jawa Barat,6507
9/11/2022,Jawa Barat,6486
9/12/2022,Jawa Barat,6444
9/13/2022,Jawa Barat,6404
9/14/2022,Jawa Barat,6443
9/15/2022,Jawa Barat,6527
9/16/2022,Jawa Barat,6606
9/17/2022,Jawa Barat,6625
9/18/2022,Jawa Barat,6676
9/19/2022,Jawa Barat,6592
9/20/2022,Jawa Barat,6595
9/21/2022,Jawa Barat,7016
9/22/2022,Jawa Barat,6992
9/23/2022,Jawa Barat,7325
9/24/2022,Jawa Barat,7868
9/25/2022,Jawa Barat,7741
9/26/2022,Jawa Barat,7487
9/27/2022,Jawa Barat,7693
9/28/2022,Jawa Barat,7872
9/29/2022,Jawa Barat,8075
9/30/2022,Jawa Barat,8135
10/1/2022,Jawa Barat,8551
10/2/2022,Jawa Barat,8895
10/3/2022,Jawa Barat,9128
10/4/2022,Jawa Barat,9282
10/5/2022,Jawa Barat,8980
10/6/2022,Jawa Barat,9271
10/7/2022,Jawa Barat,9497
10/8/2022,Jawa Barat,9766
10/9/2022,Jawa Barat,9705
10/10/2022,Jawa Barat,9594
10/11/2022,Jawa Barat,9244
10/12/2022,Jawa Barat,9283
10/13/2022,Jawa Barat,9279
10/14/2022,Jawa Barat,9184
10/15/2022,Jawa Barat,9463
10/16/2022,Jawa Barat,9500
10/17/2022,Jawa Barat,9560
10/18/2022,Jawa Barat,9426
10/19/2022,Jawa Barat,9590
10/20/2022,Jawa Barat,9829
10/21/2022,Jawa Barat,9920
10/22/2022,Jawa Barat,10301
10/23/2022,Jawa Barat,10476
10/24/2022,Jawa Barat,10224
10/25/2022,Jawa Barat,10102
10/26/2022,Jawa Barat,10076
10/27/2022,Jawa Barat,9897
10/28/2022,Jawa Barat,9927
10/29/2022,Jawa Barat,9894
10/30/2022,Jawa Barat,9854
10/31/2022,Jawa Barat,9975
11/1/2022,Jawa Barat,9580
11/2/2022,Jawa Barat,9521
11/3/2022,Jawa Barat,9613
11/4/2022,Jawa Barat,9824
11/5/2022,Jawa Barat,10062
11/6/2022,Jawa Barat,10198
11/7/2022,Jawa Barat,10212
11/8/2022,Jawa Barat,10065
11/9/2022,Jawa Barat,9473
11/10/2022,Jawa Barat,9311
11/11/2022,Jawa Barat,9540
11/12/2022,Jawa Barat,9728
11/13/2022,Jawa Barat,10142
11/14/2022,Jawa Barat,10477
11/15/2022,Jawa Barat,9763
11/16/2022,Jawa Barat,9574
11/17/2022,Jawa Barat,9402
11/18/2022,Jawa Barat,8986
11/19/2022,Jawa Barat,8931
11/20/2022,Jawa Barat,8775
11/21/2022,Jawa Barat,8509
11/22/2022,Jawa Barat,8187
11/23/2022,Jawa Barat,7774
11/24/2022,Jawa Barat,7641
11/25/2022,Jawa Barat,7608
11/26/2022,Jawa Barat,7668
11/27/2022,Jawa Barat,7580
11/28/2022,Jawa Barat,7080
11/29/2022,Jawa Barat,6532
11/30/2022,Jawa Barat,6559
12/1/2022,Jawa Barat,6710
12/2/2022,Jawa Barat,7084
12/3/2022,Jawa Barat,8458
12/4/2022,Jawa Barat,9067
12/5/2022,Jawa Barat,9464
12/6/2022,Jawa Barat,9720
12/7/2022,Jawa Barat,9817
12/8/2022,Jawa Barat,9800
12/9/2022,Jawa Barat,10146
12/10/2022,Jawa Barat,10291
12/11/2022,Jawa Barat,10387
12/12/2022,Jawa Barat,10661
12/13/2022,Jawa Barat,10877
12/14/2022,Jawa Barat,10609
12/15/2022,Jawa Barat,10717
12/16/2022,Jawa Barat,11130
12/17/2022,Jawa Barat,11498
12/18/2022,Jawa Barat,11553
12/19/2022,Jawa Barat,12048
12/20/2022,Jawa Barat,11913
12/21/2022,Jawa Barat,11995
12/22/2022,Jawa Barat,12146
12/23/2022,Jawa Barat,12092
12/24/2022,Jawa Barat,12292
12/25/2022,Jawa Barat,12470
12/26/2022,Jawa Barat,12393
12/27/2022,Jawa Barat,12070
12/28/2022,Jawa Barat,11641
12/29/2022,Jawa Barat,11810
12/30/2022,Jawa Barat,11833
12/31/2022,Jawa Barat,11619
1/1/2022,Jawa Barat,11910
1/2/2022,Jawa Barat,12160
1/3/2022,Jawa Barat,12273
1/4/2022,Jawa Barat,12306
1/5/2022,Jawa Barat,12315
1/6/2022,Jawa Barat,12411
1/7/2022,Jawa Barat,12617
1/8/2022,Jawa Barat,13523
1/9/2022,Jawa Barat,14069
1/10/2022,Jawa Barat,14577
1/11/2022,Jawa Barat,14981
1/12/2022,Jawa Barat,15536
1/13/2022,Jawa Barat,16212
1/14/2022,Jawa Barat,17032
1/15/2022,Jawa Barat,19026
1/16/2022,Jawa Barat,20301
1/17/2022,Jawa Barat,20199
1/18/2022,Jawa Barat,20033
1/19/2022,Jawa Barat,20331
1/20/2022,Jawa Barat,20648
1/21/2022,Jawa Barat,20219
1/22/2022,Jawa Barat,21291
1/23/2022,Jawa Barat,20965
1/24/2022,Jawa Barat,21518
1/25/2022,Jawa Barat,22307
1/26/2022,Jawa Barat,23970
1/27/2022,Jawa Barat,25262
1/28/2022,Jawa Barat,27304
1/29/2022,Jawa Barat,28896
1/30/2022,Jawa Barat,30827
1/31/2022,Jawa Barat,31153
2/1/2022,Jawa Barat,31567
2/2/2022,Jawa Barat,31277
2/3/2022,Jawa Barat,31618
2/4/2022,Jawa Barat,31262
2/5/2022,Jawa Barat,30677
2/6/2022,Jawa Barat,31527
2/7/2022,Jawa Barat,31413
2/8/2022,Jawa Barat,29766
2/9/2022,Jawa Barat,28308
2/10/2022,Jawa Barat,27903
2/11/2022,Jawa Barat,27807
2/12/2022,Jawa Barat,26903
2/13/2022,Jawa Barat,26155
2/14/2022,Jawa Barat,25339
2/15/2022,Jawa Barat,25016
2/16/2022,Jawa Barat,26934
2/17/2022,Jawa Barat,28352
2/18/2022,Jawa Barat,29514
2/19/2022,Jawa Barat,30685
2/20/2022,Jawa Barat,30127
2/21/2022,Jawa Barat,29521
2/22/2022,Jawa Barat,30485
2/23/2022,Jawa Barat,32747
2/24/2022,Jawa Barat,33552
2/25/2022,Jawa Barat,34959
2/26/2022,Jawa Barat,36398
2/27/2022,Jawa Barat,36618
2/28/2022,Jawa Barat,36803
3/1/2022,Jawa Barat,36769
3/2/2022,Jawa Barat,36135
3/3/2022,Jawa Barat,35748
3/4/2022,Jawa Barat,36217
3/5/2022,Jawa Barat,36298
3/6/2022,Jawa Barat,36066
3/7/2022,Jawa Barat,36892
3/8/2022,Jawa Barat,36650
3/9/2022,Jawa Barat,37410
3/10/2022,Jawa Barat,37711
3/11/2022,Jawa Barat,34274
3/12/2022,Jawa Barat,33106
3/13/2022,Jawa Barat,32438
3/14/2022,Jawa Barat,32619
3/15/2022,Jawa Barat,32361
3/16/2022,Jawa Barat,31822
